,Achizitionare Toner Q5949X negru ,"Șoseaua Olteniței 37-39, București, Romania",44.396795,26.113523,Fsystems Best Solutions SRL,2015-08-06,,2301.62,EURO,0,11727,30125100-2,DA7143789,Directia Generala de Impozite si Taxe Locale Sector 4
,Plasa gard bordurata,"Str. Pridvorului 24, București",44.400017,26.119219,TRADE EUROPE INTERNATIONAL SRL,2015-08-04,,4992.62,EURO,0,16055,44313200-9,DA7136727,Directia Administrare Parcuri si Zone Agrement sector.4
,Lucrari de  Reparatii loc de joaca  Bila  in Parcul  Lumea Copiilor  din Sector 4 ,"Str. Pridvorului 24, București, România",44.400017,26.118219,RUTAR CONSTRUCT S.R.L.,2015-08-17,,68383.79,EURO,0,16817,45236290-9,DA7167600,Directia Administrare Parcuri si Zone Agrement sector.4
,Teava rectangulara,"Str. Pridvorului 24, București",44.400117,26.119219,TRADE EUROPE INTERNATIONAL SRL,2015-08-04,,2951.8,EURO,0,15916,44163100-1,DA7136702,Directia Administrare Parcuri si Zone Agrement sector.4
,Costum salopeta din tercot de 245 gr,"Str. Pridvorului 24, București",44.400117,26.118219,HIGH Q PROD S.R.L.,2015-08-03,,2218.29,EURO,0,11006,18143000-3,DA7131830,Directia Administrare Parcuri si Zone Agrement sector.4
,Calculator electronic/statie de lucru i3/4,"Odăi, Bucharest, Romania",44.4013095,26.0509149,sc corsar online srl,2015-07-15,,8745.71,EURO,0,11966,30213300-8,DA7068084,Penitenciarul Bucuresti Rahova
,Componente sistem de detectie perimetrala ,"nr. 13-15, București, Romania",44.4073443,26.0668288,MICRO LOGIC S.R.L.,2015-07-03,,2384.88,EURO,0,13818,35120000-1,DA7023527,UM 02499 BUCURESTI
,Serv. de curatenie gen. prof. ptr supraf. oriz. si verticale,"Bd. Energeticienilor, 3, Bucuresti-Sector 3, Bucuresti, 32091, Romania",44.407877,26.142713,UNIVERSAL MED CLEANING,2015-09-01,,4916.75,EURO,0,19242,90910000-9,DA7221108,GRADINITA NR. 255 BUCURESTI
,Lucrari de reabilitare retea de stingere a incendiilor,"Vitan, Bucharest, Romania",44.4105082,26.1290597,TRADE EUROPE INTERNATIONAL SRL,2015-09-02,,96326.38,EURO,0,17090,45343200-5,DA7238994,Institutul National de Cercetare-Dezvoltare Chimico Farmaceutica-I.C.C.F. Bucuresti
,Lucrari de reabilitare a instalatiei de alimentare de gaze naturale,"Vitan, Bucharest, Romania",44.4105082,26.1291597,SAM PROIECT GRUP S.R.L.,2015-09-02,,82681.35,EURO,0,17082,45333000-0,DA7239335,Institutul National de Cercetare-Dezvoltare Chimico Farmaceutica-I.C.C.F. Bucuresti
, Serv. de curatenie gen. prof. ptr supraf. oriz. si verticale,"Aleea Perișoru 9, București, Romania",44.41189,26.180947,UNIVERSAL MED CLEANING,2015-09-02,,4506.81,EURO,0,19242,90910000-9,DA7232590,GRADINITA NR.160 BUCURESTI
,PACHET LICENTE,"Aleea Perișoru 9, București, Romania",44.41189,26.180847,SKY BIT CONSULTING SRL,2015-09-02,,3471.04,EURO,0,17168,48000000-8,DA7232615,GRADINITA NR.160 BUCURESTI
,"LENOVO E50 Tower,monit 20 ","Calea Vitan 6, București 031296, Romania",44.4156855,26.1316801,SC Helios Mod Impex SRL,2015-09-21,,13842.71,EURO,0,11750,30141200-1,DA7308740,Casa de Pensii a Municipiului Bucuresti
,Multifunctionala laser A3 monocrom cu fax Kyocera FS-M6525dn ,"Calea Vitan 6, București 031296, Romania",44.4156855,26.1317801,SC BUSINESS SOLUTION PROVIDER GROUP SRL,2015-08-11,,11516.75,EURO,0,11990,30232110-8,DA7162232,Casa de Pensii a Municipiului Bucuresti
,Hartie copiator A4 ARTIST,"Calea Vitan 6, București 031296, Romania",44.4156855,26.1318801,OFFICE PRO MEDIA S.R.L.,2015-07-14,,8387.6,EURO,0,11829,30192700-8,DA7060431,Casa de Pensii a Municipiului Bucuresti
,Multifunctionala laser monocrom A3 Kyocera FS-M6525,"Calea Vitan 6, București 031296, Romania",44.4157855,26.1316801,SC BUSINESS SOLUTION PROVIDER GROUP SRL,2015-08-11,,7457.04,EURO,0,11990,30232110-8,DA7162268,Casa de Pensii a Municipiului Bucuresti
,imprimanta Kyocera P2135dn,"Calea Vitan 6, București 031296, Romania",44.4157855,26.1317801,SC BUSINESS SOLUTION PROVIDER GROUP SRL,2015-09-16,,2188.03,EURO,0,11990,30232110-8,DA7289690,Casa de Pensii a Municipiului Bucuresti
,[05082015] Lucrari de reparatii curente si de renovare la Colegiul National Gheorghe Sincai,"Calea Șerban Vodă 167, București 040205, Romania",44.416361,26.101099,SUCCESS CONSTRUCT S.R.L.,2015-08-06,,75187.91,EURO,0,17161,45453000-7,DA7146666,COLEGIUL NATIONAL GHEORGHE SINCAI Bucuresti
, [20150831] Lucrari de reparatii curente si de renovare/reamenajare la Colegiul National  Gh Sincai ,"Calea Șerban Vodă 167, București 040205, Romania",44.416361,26.101199,SUCCESS CONSTRUCT S.R.L.,2015-09-01,,23895.71,EURO,0,17161,45453000-7,DA7233724,COLEGIUL NATIONAL GHEORGHE SINCAI Bucuresti
, [u-044] sistem audio,"Calea Șerban Vodă 167, București 040205, Romania",44.416461,26.101099,Uranius SRL,2015-09-01,,16323.59,EURO,0,12481,32321200-1,DA7222200,COLEGIUL NATIONAL GHEORGHE SINCAI Bucuresti
,Lucrari de reparatii curente si de renovare la Colegiul National Gheorghe Sincai,"Calea Șerban Vodă 167, București 040205, Romania",44.416461,26.101199,SUCCESS CONSTRUCT S.R.L.,2015-08-24,,13377.11,EURO,0,17161,45453000-7,DA7201316,COLEGIUL NATIONAL GHEORGHE SINCAI Bucuresti
, vestiar metalic,"Strada Logofătul Tăutu 47, Bucuresti Sectorul 3, Romania",44.419822,26.117358,AQUA QUEEN S.R.L.,2015-09-17,,5425.08,EURO,0,14680,39122100-4,DA7299988,Caminul Pentru Persoane Varstnice al Municipiului Bucuresti Nicolae Cajal
,scutec absorbant pentru adulti,"Strada Logofătul Tăutu 47, Bucuresti Sectorul 3, Romania",44.419822,26.117458,BELLA ROMANIA IMPEX S.R.L.,2015-08-11,,2719,EURO,0,13233,33751000-9,DA7156658,Caminul Pentru Persoane Varstnice al Municipiului Bucuresti Nicolae Cajal
,Servicii de consultanta in domeniul achizitiilor publice,"Strada Valea Ialomiței 1, București 061961, Romania",44.420863,26.019137,Fast Consulting & Training S.R.L.,2015-07-06,,2681.62,EURO,0,18792,79418000-7,DA7013780,DIRECTIA INVATAMANT SI TINERET SECTOR 4
,Servicii de consultanta in domeniul achizitiilor publice.,"Strada Valea Ialomiței 1, București 061961, Romania",44.420863,26.019237,Fast Consulting & Training S.R.L.,2015-08-04,,2722.63,EURO,0,18792,79418000-7,DA7127779,DIRECTIA INVATAMANT SI TINERET SECTOR 4
,"REP. FAT.PAV.ADM.,ANEXA TEHNICA SI ANEXA SOCIALA IM.IOR-conf caiet sarcini nr.180629/20.08.2015 ","Bulevardul Nerva Traian, București 031041, Romania",44.4214348,26.1167005,EURO CONSTRUCT INTERNATIONAL S.R.L.,2015-09-17,,87207.27,EURO,0,17153,45443000-4,DA7299020,UM 0466 BUCURESTI
,Refacere pista alergare conform caiet de sarcini 180626/20.08.2015 ,"Bulevardul Nerva Traian, București 031041, Romania",44.4214348,26.1166005,Urbanito City Concept SRL,2015-09-22,,31809.47,EURO,0,16810,45236114-2,DA7313859,UM 0466 BUCURESTI
